event,decade,m,w
100,1890,10.8,NA
100,1900,10.6,NA
100,1910,10.5,NA
100,1920,10.4,12
100,1930,10.2,11.5
100,1940,10.2,11.5
100,1950,10.1,11.3
100,1960,9.9,11
100,1970,9.9,10.8
100,1980,9.79,10.49
100,1990,9.79,10.49
100,2000,9.58,10.49
100,2010,9.58,10.49
100,2020,9.58,10.49
10000,1840,1955,NA
10000,1880,1883.1,NA
10000,1900,1862.4,NA
10000,1910,1858.8,NA
10000,1920,1806.2,NA
10000,1930,1792.6,NA
10000,1940,1761.2,NA
10000,1950,1710.4,NA
10000,1960,1659.4,2286.4
10000,1970,1642.4,1905.4
10000,1980,1628.23,1813.74
10000,1990,1582.75,1771.78
10000,2000,1577.53,1771.78
10000,2010,1571,1757.45
10000,2020,1571,1757.45
1500,1890,250.4,NA
1500,1900,239.8,NA
1500,1910,234.7,NA
1500,1920,231,318.2
1500,1930,227.8,285.2
1500,1940,223,277.8
1500,1950,216,269.7
1500,1960,213.1,250.7
1500,1970,212.1,236
1500,1980,209.46,232.47
1500,1990,206,230.46
1500,2000,206,230.46
1500,2010,206,230.07
1500,2020,206,230.07
400,1900,47.8,NA
400,1910,47.4,NA
400,1920,47,NA
400,1930,46,NA
400,1940,45.9,NA
400,1950,45.2,53.4
400,1960,43.8,51.7
400,1970,43.8,48.6
400,1980,43.29,47.6
400,1990,43.18,47.6
400,2000,43.18,47.6
400,2010,43.03,47.6
400,2020,43.03,47.6
5000,1890,989.2,NA
5000,1900,899,NA
5000,1910,876.6,NA
5000,1920,868.2,NA
5000,1930,848.8,NA
5000,1940,838.2,NA
5000,1950,815,NA
5000,1960,796.6,953.6
5000,1970,788.4,933.8
5000,1980,778.39,877.33
5000,1990,759.36,868.09
5000,2000,757.35,851.15
5000,2010,757.35,851.15
5000,2020,755.36,846.62
marathon,1900,9634.2,NA
marathon,1910,9366.6,20430
marathon,1920,8941.8,13222
marathon,1930,8774,13222
marathon,1940,8739,13222
marathon,1950,8117,13222
marathon,1960,7713.6,11247.2
marathon,1970,7745.6,8852.6
marathon,1980,7610,8466
marathon,1990,7542,8443
marathon,2000,7439,8125
marathon,2010,7299,8044
marathon,2020,7299,8044
